100,,,"HD1: Staying Healthy: Screenings, Tests and Vaccines",,,,,,,HD2: Managing Chronic (Long Term) Conditions,,,,,,,,,,,,HD3: Member Experience with Health Plan,,,,,,HD4: Member Complaints and Changes in the Health Plan's Performance,,,,HD5: Health Plan Customer Service,,,DD1: Drug Plan Customer Service,,,DD2: Member Complaints and Changes in the Drug Plan�s Performance,,,,DD3: Member Experience with the Drug Plan,,DD4: Drug Safety and Accuracy of Drug Pricing,,,,,
Contract Name,Organization Marketing Name,Parent Organization,C01: Breast Cancer Screening,C02: Colorectal Cancer Screening,C03: Annual Flu Vaccine,C04: Improving or Maintaining Physical Health,C05: Improving or Maintaining Mental Health,C06: Monitoring Physical Activity,C07: Adult BMI Assessment,C08: Special Needs Plan (SNP) Care Management,C09: Care for Older Adults � Medication Review,C10: Care for Older Adults � Functional Status Assessment,C11: Care for Older Adults � Pain Assessment,C12: Osteoporosis Management in Women who had a Fracture,C13: DiabetesCare � Eye Exam,C14: DiabetesCare � Kidney Disease Monitoring,C15: DiabetesCare � Blood Sugar Controlled,C16: Controlling Blood Pressure,C17: Rheumatoid Arthritis Management,C18: Reducing the Risk of Falling,C19: Plan All-Cause Readmissions,C20: Getting Needed Care,C21: Getting Appointments and Care Quickly,C22: Customer Service,C23: Rating of Health Care Quality,C24: Rating of Health Plan,C25: Care Coordination,C26: Complaints about the Health Plan,C27: Members Choosing to Leave the Plan,C28: Beneficiary Access and Performance Problems,C29: Health Plan Quality Improvement,C30: Plan Makes Timely Decisions about Appeals,C31: Reviewing Appeals Decisions,C32: Call Center � Foreign Language Interpreter and TTY Availability,D01: Call Center � Foreign Language Interpreter and TTY Availability,D02: Appeals Auto�Forward,D03: Appeals Upheld,D04: Complaints about the Drug Plan,D05: Members Choosing to Leave the Plan,D06: Beneficiary Access and Performance Problems,D07: Drug Plan Quality Improvement,D08: Rating of Drug Plan,D09: Getting Needed Prescription Drugs,D10: MPF Price Accuracy,D11: High Risk Medication,D12: Medication Adherence for DiabetesMedications,D13: MedicatHypertension for Hypertension (RAS antagonists),D14: Medication Adherence for Cholesterol (Statins),D15: MTM Program Completion Rate for CMR
"CAREPLUS HEALTH PLANS, INC.","CarePlus Health Plans, Inc.",Humana Inc.,0.86,0.8,0.64,0.69,0.83,0.58,0.99,0.49,0.97,0.96,0.98,0.79,0.84,0.96,0.88,0.81,0.94,0.66,0.09,0.81,0.73,0.9,0.86,0.88,0.86,0.18,0.13,0.6,0,0.99,0.97,0.94,0.92,0.9,0.85,0.18,0.13,0.6,0,0.86,0.91,0.98,0.02,0.84,0.85,0.81,0.34
"HEALTH OPTIONS, INC.",Florida Blue HMO,Guidewell Mutual Holding Corporation,0.73,0.73,0.68,0.64,0.8,0.57,0.93,0,0,0,0,0.3,0.58,0.9,0.84,0.63,0.72,0.6,0.12,0.8,0.74,0.89,0.85,0.83,0.84,0.4,0.11,0.6,0,0.97,0.94,0.92,0.92,32.1,0.75,0.4,0.11,0.6,0,0.83,0.91,0.99,0.07,0.8,0.83,0.77,0.24
"WELLCARE OF FLORIDA, INC.",WellCare,"WellCare Health Plans, Inc.",0.79,0.7,0.62,0.73,0.77,0.55,0.97,0.32,0.93,0.8,0.92,0.24,0.71,0.96,0.79,0.63,0.69,0.65,0.11,0.83,0.74,0.87,0.82,0.83,0.84,0.26,0.15,0,0,0.84,0.94,0.82,0.77,17,0.8,0.26,0.15,0,0,0.82,0.88,0.99,0.07,0.76,0.78,0.73,0.11
"FLORIDA HEALTH CARE PLAN, INC.",Florida Health Care Plans,Guidewell Mutual Holding Corporation,0.85,0.78,0.78,0.64,0.75,0.59,0.98,0,0,0,0,0.47,0.8,0.94,0.88,0.8,0.81,0.63,0.09,0.87,0.8,0.89,0.88,0.9,0.87,0.06,0.05,1,0,0.94,0.91,0.88,0.91,0,0,0.06,0.05,1,0,0.89,0.93,0.96,0.12,0.8,0.8,0.77,0.87
"HUMANA MEDICAL PLAN, INC.","Humana Medical Plan, Inc.",Humana Inc.,0.85,0.8,0.71,0.65,0.76,0.5,0.99,0.57,0.97,0.96,0.98,0.63,0.83,0.98,0.85,0.8,0.78,0.61,0.09,0.81,0.74,0.88,0.85,0.87,0.83,0.15,0.08,0.6,0,0.96,0.95,0.96,0.98,0.8,0.82,0.15,0.08,0.6,0,0.87,0.9,0.98,0.03,0.78,0.8,0.74,0.38
"PREFERRED CARE PARTNERS, INC.","Preferred Care Partners, Inc.","UnitedHealth Group, Inc.",0.82,0.74,0.56,0.66,0.78,0.57,0.97,0.64,0.93,0.88,0.92,0.41,0.72,0.94,0.89,0.51,0.7,0.62,0.1,0.84,0.75,0.9,0.88,0.87,0.85,0.23,0.13,0.8,0,1,0.91,0.96,0.98,4.8,0.75,0.23,0.13,0.8,0,0.86,0.88,0.98,0.05,0.8,0.82,0.72,0.59
HEALTH FIRST HEALTH PLANS,"Health First Health Plans, Inc.","Health First, Inc.",0.79,0.77,0.73,0.63,0.81,0.54,0.98,0,0,0,0,0.29,0.77,0.92,0.89,0.8,0.79,0.59,0.1,0.85,0.78,0.92,0.87,0.89,0.84,0.1,0.06,1,0,1,0.93,0.98,0.91,-1,-1,0.1,0.06,1,0,0.83,0.89,0.94,0.05,0.77,0.8,0.76,0.28
AETNA HEALTH INC.(GEORGIA),Aetna Medicare,Aetna Inc.,0.71,0.69,0.66,0.66,0.79,0.59,0.99,0,0,0,0,0,0.7,0.94,0.84,0.81,0.83,0.59,0.08,0.84,0.75,0.85,0.85,0.84,0.85,0.25,0.14,0.4,0,0,0,0.99,0.98,0,0,0.25,0.14,0.4,0,0.81,0.88,0.99,0.1,0.76,0.78,0.73,0.43
"UNITEDHEALTHCARE OF GEORGIA, INC.",UnitedHealthcare,"UnitedHealth Group, Inc.",0.7,0.67,0.64,0.68,0.78,0.52,0.96,0,0,0,0,0.41,0.61,0.91,0.78,0.56,0.71,0.63,0.1,0.78,0.71,0.87,0.84,0.83,0.85,0.34,0.24,1,0,0.95,0.95,0.96,0.98,0,0,0.34,0.24,1,0,0.84,0.91,0.98,0.05,0.68,0.72,0.67,0.49
"WELLCARE OF GEORGIA, INC.",WellCare,"WellCare Health Plans, Inc.",0.7,0.51,0.57,0.74,0.8,0.59,0.87,0.34,0.68,0.4,0.72,0.08,0.57,0.91,0.66,0.49,0.69,0.59,0.12,0.77,0.72,0.85,0.84,0.83,0.84,0.23,0.16,0,0,0.86,0.88,0.82,0.77,13,0.67,0.23,0.16,0,0,0.83,0.88,0.99,0.09,0.65,0.66,0.62,0.1
"KAISER FOUNDATION HP OF GA, INC.",Kaiser Permanente,"Kaiser Foundation Health Plan, Inc.",0.84,0.84,0.77,0.67,0.79,0.68,1,0.94,1,0.98,1,0.77,0.81,0.98,0.89,0.88,0.84,0.61,0.08,0.83,0.78,0.9,0.89,0.91,0.87,0.38,0.04,1,0,0.97,0.93,0.98,0.91,0,0,0.38,0.04,1,0,0.92,0.91,1,0.05,0.73,0.78,0.73,0.85
NETWORK HEALTH INSURANCE CORPORATION,Network Health Medicare Advantage Plans,"Ministry Health Care, Inc.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHRISTUS HEALTH PLAN,CHRISTUS Health Plan Generations,CHRISTUS Health Plan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KAISER FOUNDATION HP, INC.",Kaiser Permanente,"Kaiser Foundation Health Plan, Inc.",0.89,0.85,0.8,0.7,0.78,0.52,0.99,0,0,0,0,0.82,0.84,0.97,0.92,0.9,0.85,0.61,0.08,0.83,0.81,0.89,0.89,0.91,0.87,0.1,0.02,1,0,0,0,0.98,0.91,0,0,0.1,0.02,1,0,0.91,0.93,1,0.07,0.8,0.83,0.81,0.55
"WELLCARE OF TEXAS, INC.",WellCare,"WellCare Health Plans, Inc.",0.71,0.53,0.75,0.64,0.83,0.58,0.89,0.36,0.75,0.58,0.76,0.24,0.64,0.95,0.67,0.52,0.65,0.7,0.12,0,0.71,0.85,0.83,0.83,0.83,0.31,0.21,0,0,0.91,0.95,0.82,0.77,13.8,0.74,0.31,0.21,0,0,0.84,0.83,0.99,0.06,0.7,0.72,0.65,0.1
UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,"UnitedHealth Group, Inc.",0.76,0.7,0.72,0.72,0.81,0.47,0.97,0,0,0,0,0.56,0.72,0.88,0.81,0.73,0.71,0.53,0.1,0.82,0.78,0.82,0.85,0.79,0.84,0.13,0.19,1,0,0,0,0.96,0.98,0,0,0.13,0.19,1,0,0.81,0.91,0.99,0.06,0.79,0.8,0.77,0.45
HUMANA INSURANCE COMPANY OF NEW YORK,Humana Insurance Company of New York,Humana Inc.,0,0,0,0.69,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0.96,0.98,0,0,0,0,0.6,0,0,0,0.98,0.06,0.82,0.83,0.83,0.21
"BLUE CROSS OF IDAHO CARE PLUS, INC.",Blue Cross of Idaho,"Blue Cross of Idaho Health Services, Inc.",0.63,0.54,0.65,0.69,0.8,0.45,0.77,0,0,0,0,0.13,0.59,0.85,0.79,0.64,0.87,0.51,0.07,0.85,0.79,0.91,0.88,0.83,0.87,0.08,0.11,0.8,0,0.78,0.7,0.76,0.83,0,0,0.08,0.11,0.8,0,0.8,0.93,0.99,0.07,0.79,0.83,0.8,0.36
REGENCE BLUE SHIELD OF IDAHO,Regence BlueShield Of Idaho,"Cambia Health Solutions, Inc.",0.76,0.68,0.74,0.71,0.83,0.51,0.9,0,0,0,0,0.34,0.73,0.9,0.76,0.7,0.8,0.54,0.08,0.86,0.81,0.9,0.87,0.84,0.87,0.09,0.1,0.6,0,0.92,0.83,0.94,0.95,11.2,0,0.09,0.1,0.6,0,0.82,0.92,0.99,0.09,0.78,0.82,0.79,0.5
"BLUE CROSS OF IDAHO CARE PLUS, INC.",Blue Cross of Idaho,"Blue Cross of Idaho Health Services, Inc.",0.7,0.58,0.77,0.7,0.79,0.51,0.87,0.56,0.84,0.89,0.87,0.17,0.68,0.87,0.81,0.67,0.86,0.59,0.1,0.85,0.79,0.93,0.87,0.86,0.86,0.06,0.04,0.8,0,0.82,0.73,0.83,0.86,1.9,0.81,0.06,0.04,0.8,0,0.87,0.93,0.99,0.08,0.83,0.85,0.84,0.33
"BLUE-ADVANTAGE PLUS OF KANSAS CITY, INC.",Blue Cross and Blue Shield of Kansas City (Blue KC,Blue Cross and Blue Shield of Kansas City,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MARTIN'S POINT GENERATIONS, LLC",Martin's Point Generations Advantage,"Martin's Point Health Care, Inc.",0.8,0.71,0.74,0.67,0.77,0.51,0.95,0,0,0,0,0,0.83,0.92,0.78,0.78,0,0.47,0.1,0.86,0.81,0.93,0.87,0.87,0.88,0.07,0.17,0.8,0,0,0,1,1,0,0,0.07,0.17,0.8,0,0.85,0.93,0.99,0.04,0.84,0.86,0.81,0.23
"HMO COLORADO, INC.",Anthem Blue Cross and Blue Shield,Anthem Inc.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HUMANA HEALTH PLAN, INC.","Humana Health Plan, Inc.",Humana Inc.,0.75,0.69,0.77,0.67,0.76,0.54,1,0.64,0.96,0.93,0.99,0.25,0.75,0.95,0.83,0.77,0.77,0.62,0.1,0.82,0.75,0.85,0.85,0.85,0.86,0.22,0.06,0.6,0,0,0,0.96,0.98,0.7,0,0.22,0.06,0.6,0,0.87,0.9,0.98,0.03,0.78,0.8,0.75,0.32
"HEALTHSPRING OF TENNESSEE, INC.",Cigna-HealthSpring,CIGNA,0.77,0.69,0.6,0.65,0.81,0.56,0.95,0.58,0.81,0.65,0.77,0.44,0.66,0.95,0.7,0.67,0.72,0.67,0.11,0.8,0.74,0.84,0.84,0.84,0.86,0.39,0.17,0.8,0,0.93,1,0.89,0.92,0,0,0.39,0.17,0.8,0,0.83,0.88,0.98,0.02,0.74,0.75,0.68,0.33
"HARMONY HEALTH PLAN OF ILLINOIS, INC.",WellCare,"WellCare Health Plans, Inc.",0.75,0.6,0.59,0.68,0.84,0.56,0.86,0.33,0.72,0.49,0.75,0.27,0.6,0.94,0.74,0.58,0.82,0.7,0.12,0.75,0.72,0.85,0.83,0.81,0.84,0.28,0.16,0,0,0.9,0.98,0.82,0.77,7.6,0,0.28,0.16,0,0,0.82,0.87,0.99,0.05,0.71,0.73,0.67,0.12
"HEALTH ALLIANCE CONNECT, INC.",Health Alliance Medicare,The Carle Foundation,0.78,0.72,0.74,0.66,0.78,0.51,0.95,0,0,0,0,0.38,0.74,0.9,0.76,0.74,0.85,0.54,0.12,0.88,0.8,0.92,0.89,0.89,0.89,0.07,0.03,1,0,1,0.78,0.93,0.98,0,0,0.07,0.03,1,0,0.86,0.93,0.98,0.05,0.85,0.86,0.82,0.17
HUMANA INSURANCE COMPANY,Humana Insurance Company,Humana Inc.,0.67,0.62,0.76,0.67,0.75,0.5,0.93,0,0,0,0,0.26,0.68,0.92,0.8,0.76,0.81,0.57,0.09,0.86,0.78,0.87,0.87,0.84,0.88,0.18,0.14,0.6,0,0,0,0.96,0.98,0,0,0.18,0.14,0.6,0,0.85,0.91,0.98,0.05,0.79,0.81,0.77,0.29
"HEALTH ALLIANCE CONNECT, INC.",Health Alliance Medicare,The Carle Foundation,0.8,0.73,0.8,0.68,0.79,0.46,0.98,0,0,0,0,0.64,0.7,0.94,0.8,0.79,0.89,0.62,0.12,0.9,0.81,0.93,0.9,0.91,0.88,0.07,0.03,1,0,0.98,0.8,0.93,0.98,0,0,0.07,0.03,1,0,0.89,0.93,0.98,0.04,0.83,0.85,0.82,0.19
"HUMANA BENEFIT PLAN OF ILLINOIS, INC.","Humana Benefit Plan of Illinois, Inc.",Humana Inc.,0.77,0.66,0.79,0.64,0.79,0.51,0.96,0,0,0,0,0.19,0.77,0.92,0.85,0.87,0.91,0.57,0.1,0.87,0.81,0.9,0.88,0.88,0.87,0.03,0.04,0.6,0,0,0,0.96,0.98,0,0,0.03,0.04,0.6,0,0.88,0.91,0.98,0.05,0.85,0.84,0.82,0.28
CARESOURCE KENTUCKY CO.,CareSource,CareSource Management Group Co.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HUMANA INSURANCE COMPANY,Humana Insurance Company,Humana Inc.,0.67,0.65,0.74,0.66,0.8,0.49,0.95,0,0,0,0,0.29,0.59,0.89,0.81,0.76,0.82,0.52,0.09,0.86,0.81,0.85,0.89,0.85,0.88,0.12,0.08,0.6,0,0,0,0.96,0.98,1.2,0,0.12,0.08,0.6,0,0.86,0.9,0.98,0.06,0.81,0.82,0.79,0.21
"ANTHEM INSURANCE COMPANIES, INC.",Anthem Blue Cross and Blue Shield,Anthem Inc.,0.65,0.66,0.75,0.71,0.89,0.49,0.92,0,0,0,0,0.3,0.6,0.89,0.78,0.72,0.77,0.47,0.1,0.85,0.78,0.8,0.86,0.8,0.89,0.29,0.13,1,0,0,0,0.99,0.98,2.5,0,0.29,0.13,1,0,0.78,0.89,0.99,0.08,0.79,0.81,0.79,0.25
UNITEDHEALTHCARE INSURANCE COMPANY OF NEW YORK,UnitedHealthcare,"UnitedHealth Group, Inc.",0.81,0.8,0.77,0,0,0.56,0.88,0,0,0,0,0,0.73,0.92,0.75,0.61,0,0.59,0.13,0.89,0.79,0.91,0.87,0.89,0.85,0.06,0,1,0,0,0,0.96,0.98,0,0,0.06,0,1,0,0.89,0.92,0.99,0.06,0.8,0.83,0.82,0.2
"ARKANSAS SUPERIOR SELECT, INC.",Tribute Health Plan of Arkansas,"Select Founders, LLC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.59,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANTHEM INSURANCE COMPANIES, INC.",Anthem Blue Cross and Blue Shield,Anthem Inc.,0.75,0.74,0.81,0.68,0.78,0.56,0.85,0,0,0,0,0.27,0.63,0.89,0.8,0.71,0.85,0.51,0.11,0.84,0.77,0.91,0.85,0.86,0.84,0.12,0.02,1,0,0,0,0.99,0.98,5.8,0,0.12,0.02,1,0,0.82,0.89,0.99,0.1,0.82,0.84,0.79,0.24
COVENTRY HEALTH AND LIFE INSURANCE COMPANY,Coventry Health Care,Aetna Inc.,0.72,0.65,0.78,0.69,0.81,0.41,0.98,0,0,0,0,0.53,0.74,0.93,0.86,0.85,0.89,0.48,0.09,0.87,0.8,0.89,0.86,0.83,0.86,0.11,0.06,0.6,0,0.85,0.92,0.99,0.98,0.4,0,0.11,0.06,0.6,0,0.83,0.91,0.98,0.08,0.82,0.83,0.8,0.24
"AETNA HEALTH, INC.",Coventry Health Care,Aetna Inc.,0.69,0.68,0.75,0.69,0.77,0.44,0.98,0,0,0,0,0,0.7,0.91,0.87,0.87,0.85,0.48,0.04,0.84,0.81,0.86,0.86,0.83,0.88,0.06,0.18,0.6,0,0,0,0.99,0.98,0,0,0.06,0.18,0.6,0,0.83,0.92,0.98,0.08,0.82,0.83,0.8,0.26
"MEDICAL ASSOCIATES HEALTH PLAN, INC.","Medical Associates Health Plan, Inc.","Medical Associates Clinic, P.C.",0.83,0.77,0.84,0.72,0.78,0.47,0.97,0,0,0,0,0,0.83,0.92,0.86,0.85,0,0.48,0,0.88,0.82,0.94,0.91,0.93,0.91,0,0.01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PIEDMONT COMMUNITY HEALTHCARE, INC.",Piedmont Medicare Advantage,Piedmont Community Health Plan,0.6,0.64,0.72,0,0,0.47,0.9,0,0,0,0,0,0.56,0.88,0.47,0.44,0.83,0.57,0.12,0.84,0.71,0.93,0.84,0.85,0.85,0.13,0.04,0.8,0,0,0,0.84,0.9,0,0,0.13,0.04,0.8,0,0.81,0.9,0.98,0.05,0.8,0.8,0.73,0.3
HARVARD PILGRIM HEALTH CARE INC.,"Harvard Pilgrim Health Care, Inc.","Harvard Pilgrim Health Care, Inc.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.91,0.99,0,0,0,0,1,0,0,0,0.99,0.14,0,0.83,0.8,0
HCSC INSURANCE SERVICES COMPANY,Blue Cross Blue Shield of Texas,Health Care Service Corporation,0,0.29,0.68,0,0,0.49,0.5,0,0,0,0,0,0.49,0.85,0.37,0.32,0.84,0.55,0.15,0.82,0.75,0.83,0.85,0.78,0.86,1.59,0.18,1,0,0.53,0.6,0.95,0.98,78,0.46,1.59,0.18,1,0,0.81,0.88,0.99,0.08,0.78,0.78,0.74,0.37
"COVENTRY HEALTH CARE OF WEST VIRGINIA, INC.",Coventry Health Care,Aetna Inc.,0,0,0.73,0,0,0,0,0,0,0,0,0,0.65,0.89,0.81,0.77,0,0,0,0.85,0.75,0.87,0.86,0.81,0.88,0.29,0.08,1,0,0,0,0.99,0.98,0,0,0.29,0.08,1,0,0.79,0.91,0.98,0.07,0.75,0.77,0.7,0.29
HUMANA INSURANCE COMPANY,Humana Insurance Company,Humana Inc.,0.67,0.65,0.77,0.68,0.8,0.5,0.93,0,0,0,0,0.23,0.63,0.89,0.73,0.77,0.84,0.6,0.1,0.86,0.78,0.83,0.87,0.83,0.88,0.26,0.15,0.6,0,0,0,0.96,0.98,0.8,0,0.26,0.15,0.6,0,0.83,0.89,0.98,0.06,0.81,0.82,0.78,0.26
"ABSOLUTE TOTAL CARE, INC.",Absolute Total Care,Centene Corporation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HEALTH ALLIANCE - MIDWEST, INC.",Health Alliance Medicare,The Carle Foundation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.94,0.97,0,0,0,0,1,0,0,0,0.98,0.04,0,0.82,0.77,0
"CATHOLIC SPECIAL NEEDS PLAN, LLC",ArchCare Advantage,Catholic Health Care System,0.1,0.39,0,0,0,0.42,0.88,0.84,0.93,0.88,0.8,0,0.69,0.93,0.49,0,0,0,0.05,0,0,0,0,0,0,0,0.05,1,0,0,0,0.62,0.65,0,0,0,0.05,1,0,0,0,0.99,0.07,0.82,0.79,0.79,0.05
MOUNT CARMEL HEALTH INSURANCE COMPANY,MediGold,Trinity Health,0.76,0.41,0.77,0.74,0.8,0.46,0.9,0,0,0,0,0,0.57,0.9,0.93,0.59,0,0.48,0.06,0.84,0.78,0.92,0.85,0.88,0.84,0.19,0.17,1,0,0,0,0.9,0.95,0,0,0.19,0.17,1,0,0.87,0.92,0.99,0.07,0.82,0.81,0.79,0.43
"ANTHEM HEALTH PLANS OF KENTUCKY, INC.",Anthem Blue Cross and Blue Shield,Anthem Inc.,0.63,0.63,0.73,0.7,0.81,0.41,0.92,0,0,0,0,0.15,0.57,0.89,0.82,0.75,0.65,0.6,0.12,0.83,0.74,0.87,0.86,0.82,0.85,0.15,0.05,1,0,0,0,0.99,0.98,7.6,0,0.15,0.05,1,0,0.82,0.9,0.99,0.08,0.75,0.78,0.75,0.26
"AMERIGROUP WASHINGTON, INC.",AMERIGROUP,Anthem Inc.,0,0,0,0,0,0,0,0.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.99,0.98,0,0,0,0,1,0,0,0,0.99,0.03,0,0.87,0.8,0
"WELLCARE OF LOUISIANA, INC.",WellCare,"WellCare Health Plans, Inc.",0.66,0.48,0.64,0.64,0.81,0.47,0.89,0.33,0.73,0.56,0.77,0,0.56,0.9,0.56,0.57,0.75,0.6,0.13,0,0.74,0.89,0.85,0.83,0.87,0.24,0.19,0,0,0.85,0.9,0.82,0.77,8.8,0.6,0.24,0.19,0,0,0.85,0.9,0.99,0.12,0.62,0.64,0.61,0.14
"THE NEW YORK STATE CATHOLIC HEALTH PLAN, INC.",Fidelis Care,"The New York State Catholic Health Plan, Inc.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UNITEDHEALTHCARE OF NEW ENGLAND, INC.",UnitedHealthcare,"UnitedHealth Group, Inc.",0.81,0.76,0.79,0.76,0.8,0.58,0.94,0,0,0,0,0.37,0.75,0.96,0.78,0.71,0.82,0.59,0.1,0.8,0.75,0.83,0.83,0.79,0.88,0.25,0.14,1,0,1,1,0.96,0.98,0,0,0.25,0.14,1,0,0.8,0.88,0.99,0.03,0.78,0.81,0.76,0.47
"HUMANA HEALTH BENEFIT PLAN OF LOUISIANA, INC.","Humana Health Benefit Plan of Louisiana, Inc.",Humana Inc.,0.75,0.72,0.75,0.71,0.79,0.51,0.97,0.58,0.92,0.89,0.96,0.27,0.71,0.93,0.84,0.83,0.79,0.59,0.1,0.87,0.75,0.87,0.87,0.88,0.87,0.12,0.03,0.6,0,1,1,0.96,0.98,1.1,0.83,0.12,0.03,0.6,0,0.86,0.91,0.98,0.07,0.76,0.78,0.75,0.31
"PEOPLES HEALTH, INC.",Peoples Health,"PH Holdings, LLC",0.82,0.8,0.75,0.7,0.81,0.47,1,0.78,1,0.99,0.99,0.76,0.82,0.95,0.83,0.81,0.78,0.59,0.1,0.85,0.71,0.9,0.87,0.88,0.84,0.08,0.07,0.8,0,0.97,0.96,0.99,0.95,1.7,0.55,0.08,0.07,0.8,0,0.85,0.9,0.99,0.04,0.72,0.76,0.72,0.36
REGENCE BLUE SHIELD OF IDAHO,Regence BlueShield of Idaho,"Cambia Health Solutions, Inc.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.91,0.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UPPER PENINSULA HEALTH PLAN, LLC",Upper Peninsula Health Plan (UPHP) MI Health Link,"DLP Marquette General Hospital, LLC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SELECTHEALTH, INC.",SelectHealth,"Intermountain Health Care, Inc.",0.77,0.76,0.73,0,0,0.52,0.96,0,0,0,0,0.39,0.77,0.94,0.92,0.81,0.81,0.54,0.1,0.85,0.77,0.89,0.86,0.85,0.85,0.08,0.08,1,0,0.96,0.88,0.93,0.93,28.7,0.36,0.08,0.08,1,0,0.83,0.92,0.99,0.11,0.76,0.79,0.76,0.22
REGENCE BLUESHIELD,Regence BlueShield,"Cambia Health Solutions, Inc.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.94,0.95,0,0,0,0,1,0,0,0,0.99,0.05,0.86,0.85,0.81,0
"SIERRA HEALTH AND LIFE INSURANCE COMPANY, INC.",UnitedHealthcare,"UnitedHealth Group, Inc.",0.79,0.75,0,0.65,0.86,0.53,0.97,0,0,0,0,0.34,0.82,0.93,0.86,0.77,0.94,0.55,0.09,0,0,0,0,0,0,0.26,0.07,1,0,0.92,1,0.96,0.98,3.7,0,0.26,0.07,1,0,0,0,0.99,0.04,0.82,0.84,0.79,0.47
"HUMANA HEALTH PLAN, INC.","Humana Health Plan, Inc.",Humana Inc.,0.69,0.63,0.69,0.69,0.8,0.48,0.96,0.68,0.93,0.92,0.97,0.3,0.6,0.94,0.8,0.77,0.79,0.62,0.09,0.85,0.76,0.88,0.84,0.84,0.87,0.23,0.18,0.6,0,0.95,0.92,0.96,0.98,0.6,0.9,0.23,0.18,0.6,0,0.85,0.91,0.98,0.06,0.77,0.79,0.75,0.33
"HUMANA INSURANCE OF PUERTO RICO, INC.","Humana Insurance of Puerto Rico, Inc.",Humana Inc.,0.72,0.66,0.51,0.74,0.85,0.6,0.82,0,0,0,0,0,0.63,0.91,0.74,0.67,0.54,0.61,0.1,0.8,0.65,0.86,0.87,0.83,0.77,0.5,0.18,0.6,0,0,0,0.92,0.98,0,0,0.5,0.18,0.6,0,0.84,0.86,0.99,0.03,0.66,0.73,0.53,0.25
"COMMUNITY CARE HEALTH PLAN, INC.",Community Care,"Community Care, Inc.",0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.94,0.91,0,0,0,0,1,0,0,0,0.98,0.09,0.8,0.77,0.86,0.26
"BRAVO HEALTH MID-ATLANTIC, INC.",Cigna-HealthSpring,CIGNA,0.7,0.67,0.6,0.69,0.76,0.46,0.92,0.6,0.81,0.7,0.8,0.68,0.62,0.91,0.7,0.63,0.68,0.65,0.12,0.75,0.75,0.84,0.8,0.77,0.81,0.45,0.19,0.8,0,0.95,0.87,0.98,0.95,0,0,0.45,0.19,0.8,0,0.8,0.87,0.98,0.02,0.71,0.71,0.67,0.32
