C07: Adult BMI Assessment,C08: Special Needs Plan (SNP) Care Management,C09: Care for Older Adults ñ Medication Review,C10: Care for Older Adults ñ Functional Status Assessment,C11: Care for Older Adults ñ Pain Assessment,C12: Osteoporosis Management in Women who had a Fracture,C13: DiabetesCare ñ Eye Exam,C14: DiabetesCare ñ Kidney Disease Monitoring,C15: DiabetesCare ñ Blood Sugar Controlled,C16: Controlling Blood Pressure,C17: Rheumatoid Arthritis Management,C18: Reducing the Risk of Falling,C19: Plan All-Cause Readmissions,C20: Getting Needed Care,C21: Getting Appointments and Care Quickly,C22: Customer Service,C23: Rating of Health Care Quality,C24: Rating of Health Plan,C25: Care Coordination,C26: Complaints about the Health Plan,C27: Members Choosing to Leave the Plan,C28: Beneficiary Access and Performance Problems,C29: Health Plan Quality Improvement,C30: Plan Makes Timely Decisions about Appeals,C31: Reviewing Appeals Decisions,C32: Call Center ñ Foreign Language Interpreter and TTY Availability,D01: Call Center ñ Foreign Language Interpreter and TTY Availability,D02: Appeals AutoñForward,D03: Appeals Upheld,D04: Complaints about the Drug Plan
88%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,0,73%,92%,75%,61%,0,59%,13%,89%,79%,91%,87%,89%,85%,0.06,0%,100,0,0,0,96%,98%,0,0,0.06
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59%,60%,0,0,0
85%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,27%,63%,89%,80%,71%,85%,51%,11%,84%,77%,91%,85%,86%,84%,0.12,2%,100,Medicare shows only a Star Rating for this topic,0,0,99%,98%,5.8,0,0.12
98%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,53%,74%,93%,86%,85%,89%,48%,9%,87%,80%,89%,86%,83%,86%,0.11,6%,60,Medicare shows only a Star Rating for this topic,85%,92%,99%,98%,0.4,0,0.11
98%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,0,70%,91%,87%,87%,85%,48%,4%,84%,81%,86%,86%,83%,88%,0.06,18%,60,Medicare shows only a Star Rating for this topic,0,0,99%,98%,0,0,0.06
97%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Benefit not offered by plan,83%,92%,86%,85%,Benefit not offered by plan,48%,No data available,88%,82%,94%,91%,93%,91%,0,1%,100,Medicare shows only a Star Rating for this topic,0,0,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure
90%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,0,56%,88%,47%,44%,83%,57%,12%,84%,71%,93%,84%,85%,85%,0.13,4%,80,Medicare shows only a Star Rating for this topic,0,0,84%,90%,0,0,0.13
Plan too small to be measured,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,0,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,0,0,100,0,0,0,91%,99%,0,0,0
50%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,0,49%,85%,37%,32%,84%,55%,15%,82%,75%,83%,85%,78%,86%,1.59,18%,100,0,53%,60%,95%,98%,78,46%,1.59
0,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,0,65%,89%,81%,77%,0,0,No data available,85%,75%,87%,86%,81%,88%,0.29,8%,100,0,0,0,99%,98%,0,0,0.29
93%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,23%,63%,89%,73%,77%,84%,60%,10%,86%,78%,83%,87%,83%,88%,0.26,15%,60,Medicare shows only a Star Rating for this topic,0,0,96%,98%,0.8,0,0.26
0,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Plan too small to be measured,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,0,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,0,0,100,0,0,0,94%,97%,0,0,0
88%,84.20%,93%,88%,80%,0,69%,93%,49%,0,0,0,5%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,0,5%,100,0,0,0,62%,65%,0,0,0
90%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,0,57%,90%,93%,59%,0,48%,6%,84%,78%,92%,85%,88%,84%,0.19,17%,100,0,0,0,90%,95%,0,0,0.19
92%,No data available,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,15%,57%,89%,82%,75%,65%,60%,12%,83%,74%,87%,86%,82%,85%,0.15,5%,100,Medicare shows only a Star Rating for this topic,0,0,99%,98%,7.6,0,0.15
Plan too small to be measured,49.20%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,0,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,0,0,100,0,0,0,99%,98%,0,0,0
89%,32.80%,73%,56%,77%,0,56%,90%,56%,57%,75%,60%,13%,0,74%,89%,85%,83%,87%,0.24,19%,0,Medicare shows only a Star Rating for this topic,85%,90%,82%,77%,8.8,60%,0.24
0,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,37%,75%,96%,78%,71%,82%,59%,10%,80%,75%,83%,83%,79%,88%,0.25,14%,100,Medicare shows only a Star Rating for this topic,100%,100%,96%,98%,0,0,0.25
97%,57.50%,92%,89%,96%,27%,71%,93%,84%,83%,79%,59%,10%,87%,75%,87%,87%,88%,87%,0.12,3%,60,Medicare shows only a Star Rating for this topic,100%,100%,96%,98%,1.1,83%,0.12
100%,77.60%,100%,99%,99%,76%,82%,95%,83%,81%,78%,59%,10%,85%,71%,90%,87%,88%,84%,0.08,7%,80,Medicare shows only a Star Rating for this topic,97%,96%,99%,95%,1.7,55%,0.08
0,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91%,94%,0,0,0
0,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,39%,77%,94%,92%,81%,81%,54%,10%,85%,77%,89%,86%,85%,85%,0.08,8%,100,Medicare shows only a Star Rating for this topic,96%,88%,93%,93%,28.7,36%,0.08
Plan too small to be measured,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,0,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,0,0,100,0,0,0,94%,95%,0,0,0
97%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,34%,82%,93%,86%,77%,94%,55%,9%,0,0,0,0,0,0,0.26,7%,100,Medicare shows only a Star Rating for this topic,92%,100%,96%,98%,3.7,0,0.26
96%,68.20%,93%,92%,97%,30%,60%,94%,80%,77%,79%,62%,9%,85%,76%,88%,84%,84%,87%,0.23,18%,60,Medicare shows only a Star Rating for this topic,95%,92%,96%,98%,0.6,90%,0.23
82%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,0,63%,91%,74%,67%,54%,61%,10%,80%,65%,86%,87%,83%,77%,0.5,18%,60,Medicare shows only a Star Rating for this topic,0,0,92%,98%,0,0,0.5
Plan too small to be measured,99.70%,100%,100%,100%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,0,0,100,0,0,0,94%,91%,0,0,0
92%,60.10%,81%,70%,80%,68%,62%,91%,70%,63%,68%,65%,12%,75%,75%,84%,80%,77%,81%,0.45,19%,80,Medicare shows only a Star Rating for this topic,95%,87%,98%,95%,0,0,0.45
100%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,93%,93%,100%,90%,95%,83%,60%,No data available,86%,77%,87%,85%,88%,85%,0.25,3%,100,Medicare shows only a Star Rating for this topic,98%,95%,Plan not required to report measure,Plan not required to report measure,0,0,0.25
Plan too small to be measured,49.30%,89%,73%,88%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,0,0,100,0,0,0,47%,82%,0,0,0
92%,51.90%,65%,40%,63%,53%,69%,88%,75%,52%,78%,49%,11%,83%,76%,85%,85%,83%,88%,0.42,14%,80,Medicare shows only a Star Rating for this topic,0,0,88%,88%,0,0,0.42
0,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74%,76%,0,0,0
87%,7.10%,79%,35%,73%,13%,67%,90%,69%,69%,71%,66%,12%,78%,76%,88%,82%,85%,82%,0.05,2%,80,Medicare shows only a Star Rating for this topic,94%,100%,95%,88%,0,0,0.05
97%,94.20%,90%,96%,97%,10%,81%,94%,74%,70%,79%,85%,11%,84%,74%,87%,85%,88%,84%,0,4%,80,Medicare shows only a Star Rating for this topic,0,0,91%,90%,CMS identified issues with this plan's data,CMS identified issues with this plan's data,0
95%,84.60%,94%,98%,98%,25%,82%,96%,69%,77%,73%,85%,7%,84%,75%,88%,87%,90%,85%,0.03,4%,40,Medicare shows only a Star Rating for this topic,0,0,76%,76%,0,0,0.03
97%,85.30%,90%,96%,98%,15%,86%,95%,84%,78%,67%,80%,10%,81%,74%,83%,86%,88%,86%,0.05,9%,100,Medicare shows only a Star Rating for this topic,0,0,96%,98%,0.9,0,0.05
98%,96.90%,99%,99%,99%,0,92%,93%,85%,0,0,0,11%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,0.05,6%,100,Medicare shows only a Star Rating for this topic,0,0,96%,98%,0,0,0.05
94%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,29%,82%,96%,90%,80%,81%,53%,9%,86%,78%,92%,86%,87%,87%,0.06,5%,100,Medicare shows only a Star Rating for this topic,0,0,84%,84%,0.9,67%,0.06
94%,59.00%,83%,89%,91%,0,69%,92%,69%,71%,77%,85%,10%,85%,82%,87%,86%,87%,87%,0.1,7%,100,Medicare shows only a Star Rating for this topic,0,0,69%,93%,0,No data available,0.1
55%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,0,59%,91%,31%,26%,0,56%,14%,82%,75%,88%,86%,87%,82%,0.35,9%,100,0,0,0,92%,89%,0,0,0.35
96%,97.50%,98%,99%,99%,38%,87%,98%,92%,90%,80%,66%,8%,86%,81%,92%,89%,91%,88%,0.06,4%,40,Medicare shows only a Star Rating for this topic,97%,97%,82%,94%,2.5,74%,0.06
97%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,31%,85%,95%,87%,81%,74%,68%,9%,86%,79%,89%,87%,86%,87%,0.03,5%,100,Medicare shows only a Star Rating for this topic,100%,100%,84%,84%,0.9,No data available,0.03
97%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,30%,73%,93%,82%,76%,85%,61%,10%,84%,77%,86%,85%,85%,84%,0.2,3%,80,Medicare shows only a Star Rating for this topic,97%,93%,73%,69%,7.2,80%,0.2
97%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,57%,74%,94%,86%,77%,85%,50%,8%,86%,80%,91%,88%,86%,86%,0.04,5%,100,Medicare shows only a Star Rating for this topic,98%,94%,92%,93%,0.5,77%,0.04
93%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,0,72%,89%,72%,67%,80%,62%,10%,86%,75%,86%,86%,84%,85%,0.34,7%,80,Medicare shows only a Star Rating for this topic,0,0,73%,69%,6,0,0.34
95%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,39%,82%,95%,87%,68%,78%,60%,8%,88%,77%,88%,87%,87%,87%,0.07,3%,100,Medicare shows only a Star Rating for this topic,100%,79%,0,0,0,0,0.07
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94%,95.00%,93%,100%,100%,3%,92%,89%,72%,0,0,79%,5%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,0,24%,100,Medicare shows only a Star Rating for this topic,0,0,96%,98%,0,0,0
Plan too small to be measured,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,0,0,100,0,0,0,0,0,0,0,0
83%,64.80%,80%,87%,93%,13%,76%,90%,76%,69%,0,79%,11%,87%,83%,92%,87%,88%,88%,0.04,2%,100,Medicare shows only a Star Rating for this topic,0,0,98%,87%,92.5,90%,0.04
Plan too small to be measured,84.50%,77%,95%,96%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,0,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,0,0,100,0,0,0,71%,68%,0,0,0
90%,CMS identified issues with this plan's data,92%,84%,97%,0,82%,94%,86%,82%,0,76%,11%,88%,80%,88%,87%,88%,88%,0.05,1%,80,Medicare shows only a Star Rating for this topic,0,0,90%,90%,0,0,0.05
94%,83.90%,95%,92%,97%,16%,76%,91%,88%,82%,0,79%,10%,89%,77%,89%,86%,87%,87%,0,3%,60,Medicare shows only a Star Rating for this topic,0,0,95%,94%,6.4,0,0
91%,71.50%,90%,93%,95%,8%,77%,89%,78%,75%,80%,67%,11%,83%,79%,90%,86%,87%,88%,0.04,1%,80,Medicare shows only a Star Rating for this topic,98%,75%,94%,93%,21.2,69%,0.04
92%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,18%,76%,90%,84%,83%,89%,54%,No data available,83%,80%,91%,85%,88%,87%,0.06,2%,100,Medicare shows only a Star Rating for this topic,87%,92%,Plan not required to report measure,Plan not required to report measure,0.6,67%,0.06
96%,80.70%,89%,91%,95%,19%,77%,90%,78%,75%,73%,79%,10%,81%,78%,83%,84%,85%,86%,0.02,2%,40,Medicare shows only a Star Rating for this topic,0,0,94%,91%,7.1,No data available,0.02
93%,83.00%,95%,92%,96%,13%,75%,89%,79%,83%,77%,74%,10%,87%,78%,86%,85%,87%,86%,0.05,2%,100,Medicare shows only a Star Rating for this topic,0,0,67%,71%,0,0,0.05
95%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,19%,79%,96%,89%,81%,88%,51%,9%,89%,81%,93%,87%,88%,87%,0.05,6%,40,Medicare shows only a Star Rating for this topic,98%,96%,98%,95%,4.3,83%,0.05
90%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Benefit not offered by plan,79%,89%,79%,76%,Benefit not offered by plan,57%,No data available,85%,81%,86%,86%,88%,88%,0.03,1%,100,Medicare shows only a Star Rating for this topic,98%,79%,Plan not required to report measure,Plan not required to report measure,No data available,No data available,0.03
96%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,23%,81%,96%,93%,87%,93%,54%,No data available,87%,83%,93%,89%,91%,87%,0.03,2%,60,Medicare shows only a Star Rating for this topic,100%,93%,Plan not required to report measure,Plan not required to report measure,2.3,No data available,0.03
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72%,71%,0,0,0
98%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,0,56%,91%,81%,80%,70%,48%,8%,84%,78%,82%,86%,82%,87%,0.32,20%,60,Medicare shows only a Star Rating for this topic,0,0,96%,98%,3.4,0,0.32
86%,54.20%,79%,73%,88%,19%,70%,90%,65%,69%,79%,69%,9%,76%,70%,82%,80%,80%,82%,0.1,10%,0,Medicare shows only a Star Rating for this topic,0,0,59%,55%,25.1,78%,0.1
0,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No data available,0,0
0,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No data available,0,0
0,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,0,76%,No data available,92%,82%,0,0,No data available,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,0,0,100,0,0,0,16%,14%,0,0,0
0,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94%,97%,0,0,0
95%,58.90%,94%,77%,94%,68%,69%,96%,81%,79%,77%,60%,7%,77%,72%,89%,83%,85%,80%,0.19,13%,100,Medicare shows only a Star Rating for this topic,99%,91%,93%,96%,0.6,0,0.19
99%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,31%,77%,97%,89%,77%,72%,58%,8%,88%,80%,91%,89%,91%,89%,0.06,3%,80,Medicare shows only a Star Rating for this topic,91%,84%,99%,93%,1.5,No data available,0.06
96%,70.10%,90%,84%,95%,29%,69%,94%,80%,78%,76%,58%,9%,83%,77%,86%,85%,84%,85%,0.28,12%,60,Medicare shows only a Star Rating for this topic,100%,91%,96%,98%,0.7,81%,0.28
95%,No data available,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,48%,62%,92%,80%,69%,75%,60%,9%,81%,79%,86%,86%,81%,88%,0.19,17%,100,Medicare shows only a Star Rating for this topic,100%,100%,96%,98%,0.6,0,0.19
98%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,41%,73%,91%,86%,83%,82%,48%,9%,83%,80%,88%,85%,82%,87%,0.12,7%,60,Medicare shows only a Star Rating for this topic,97%,89%,99%,98%,0.4,100%,0.12
100%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,45%,73%,88%,81%,85%,90%,49%,11%,86%,81%,89%,88%,86%,88%,0.09,9%,60,Medicare shows only a Star Rating for this topic,100%,81%,99%,98%,0.5,0,0.09
97%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,47%,71%,92%,82%,78%,83%,63%,9%,84%,77%,85%,86%,83%,88%,0.14,12%,60,Medicare shows only a Star Rating for this topic,100%,100%,99%,98%,0.6,0,0.14
Plan too small to be measured,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,0,0,100,0,0,0,81%,83%,0,0,0
76%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,19%,65%,89%,54%,64%,86%,52%,9%,84%,79%,90%,87%,86%,87%,0.03,7%,100,Medicare shows only a Star Rating for this topic,88%,73%,71%,67%,CMS identified issues with this plan's data,CMS identified issues with this plan's data,0.03
0,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,No data available,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,0,47%,No data available,71%,58%,0,0,No data available,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,0,0,80,0,0,0,95%,96%,0,0,0
Plan too small to be measured,41.40%,87%,81%,71%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,No data available,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,0,0,80,0,0,0,98%,97%,0,0,0
93%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,15%,69%,91%,74%,70%,84%,57%,9%,87%,78%,90%,85%,85%,83%,0.11,9%,100,Medicare shows only a Star Rating for this topic,95%,90%,100%,95%,0,0,0.11
98%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,52%,72%,94%,82%,72%,84%,61%,10%,87%,80%,88%,89%,88%,89%,0.16,7%,100,Medicare shows only a Star Rating for this topic,0,0,96%,98%,0,0,0.16
94%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,22%,64%,86%,72%,71%,84%,56%,10%,86%,76%,85%,85%,86%,87%,0.11,6%,100,Medicare shows only a Star Rating for this topic,95%,88%,100%,95%,0,0,0.11
90%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,0,68%,87%,65%,73%,0,56%,9%,85%,77%,81%,84%,79%,86%,0.46,12%,100,Medicare shows only a Star Rating for this topic,0,0,99%,98%,0,0,0.46
Plan too small to be measured,CMS identified issues with this plan's data,0,0,0,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,0,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,0,0,100,0,0,0,90%,94%,0,0,0
60%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,15%,61%,86%,46%,35%,0,47%,10%,87%,77%,90%,84%,80%,85%,0.13,15%,100,Medicare shows only a Star Rating for this topic,0,0,96%,98%,5.4,0,0.13
92%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,0,57%,86%,79%,81%,71%,50%,7%,86%,77%,91%,85%,87%,81%,0.38,5%,100,Medicare shows only a Star Rating for this topic,0,0,97%,90%,19,0,0.38
Plan too small to be measured,38.40%,0,0,0,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,0,0,100,0,0,0,98%,87%,0,0,0
96%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,51%,76%,98%,85%,83%,85%,55%,9%,73%,65%,89%,79%,83%,81%,0.11,9%,100,Medicare shows only a Star Rating for this topic,98%,96%,96%,98%,1.1,100%,0.11
87%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,18%,50%,88%,71%,71%,79%,54%,10%,87%,77%,86%,87%,86%,87%,0.26,20%,60,Medicare shows only a Star Rating for this topic,83%,92%,96%,98%,2,No data available,0.26
100%,58.00%,100%,96%,100%,43%,79%,94%,89%,77%,65%,64%,8%,81%,67%,81%,81%,84%,81%,0.12,6%,60,Medicare shows only a Star Rating for this topic,100%,93%,96%,98%,0,0,0.12
97%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,14%,67%,90%,83%,81%,78%,49%,11%,84%,77%,92%,86%,90%,84%,0.13,4%,80,Medicare shows only a Star Rating for this topic,100%,83%,97%,90%,26.8,0,0.13
91%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,0,69%,96%,73%,60%,64%,52%,17%,85%,76%,91%,86%,88%,84%,0.29,17%,100,0,0,0,76%,80%,3.5,0,0.29
0,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96%,95%,0,0,0
0,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95%,96%,0,0,0
0,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,CMS identified issues with this plan's data,33%,71%,87%,0,56%,94%,13%,30%,0,0,No data available,84%,69%,93%,90%,93%,76%,0.95,42%,80,0,0,0,82%,80%,38.5,0,0.95
0,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No data available,0,0
0,CMS identified issues with this plan's data,0,0,0,0,No data available,No data available,51%,44%,0,0,No data available,0,75%,83%,82%,77%,85%,0,30%,100,0,0,0,83%,81%,0,0,0
92%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,49%,60%,87%,70%,59%,75%,56%,11%,84%,71%,87%,83%,80%,81%,0.32,14%,80,Medicare shows only a Star Rating for this topic,100%,98%,96%,98%,0.3,94%,0.32
